product,origin,price,url
Chou fleur ( la pièce ) ,FRANCE,1.19€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000001038436_PHOTOSITE_20150617_162744_0.jpg?placeholder=1
Concombre ( la pièce ) ,FRANCE,1.09€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000001038733_PHOTOSITE_20150617_162555_0.jpg?placeholder=1
Patate douce ( le kilo ) ,ESPAGNE,2.00€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000000041376_PHOTOSITE_20150828_162646_0.jpg?placeholder=1
Courgettes ( le kilo ) ,ESPAGNE,1.59€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000000038857_PHOTOSITE_20170627_162349_0.jpg?placeholder=1
Salade Batavia ( la pièce ) ,FRANCE,0.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000001040194_PHOTOSITE_20180614_161154_0.jpg?placeholder=1
Pommes de terre variété marabel FILIERE QUALITE CARREFOUR ( le filet de 2.5 kg ) ,FRANCE,2.49€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276556201223_PHOTOSITE_20181127_162229_0.jpg?placeholder=1
Pommes de terre de consommation Excellency PETIT PRIX ( le filet de 1.5 kg ) ,FRANCE,0.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276559054390_PHOTOSITE_20140625_122345_0.jpg?placeholder=1
Avocat Hass ( la pièce ) ,ESPAGNE,1.49€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000001037576_PHOTOSITE_20180614_161156_0.jpg?placeholder=1
Pommes de terre rouges Vapeur Chérie FILIERE QUALITE CARREFOUR ( le filet de 2.5 kg ) ,FRANCE,1.69€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554591357_PHOTOSITE_20160318_163614_0.jpg?placeholder=1
Oignons jaunes bio CARREFOUR BIO ( le filet de 1 kg ) ,FRANCE,1.69€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3270190214946_PHOTOSITE_20150616_083303_0.jpg?placeholder=1
Avocat Hass Bio HASS ( la pièce ) ,ESPAGNE,1.19€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680436213_PHOTOSITE_20200121_182047_0.jpg?placeholder=1
Endives ( le sachet de 1 kg ) ,FRANCE,1.39€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276556234245_PHOTOSITE_20150616_082955_0.jpg?placeholder=1
Oignons jaunes PETIT PRIX ( le filet de 2 kg ) ,FRANCE,1.59€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276550374534_PHOTOSITE_20150616_083212_0.jpg?placeholder=1
Pommes de terre de consommation bio Charlotte CARREFOUR BIO ( le filet de 1.5 kg ) ,FRANCE,2.29€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276552704971_PHOTOSITE_20160322_164341_0.jpg?placeholder=1
Pommes de terre de consommation Agata ( le filet de 5 kg ) ,FRANCE,2.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554593641_PHOTOSITE_20140617_123312_0.jpg?placeholder=1
Salade Laitue verte ( la pièce ) ,FRANCE,0.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276555741461_PHOTOSITE_20160318_163811_0.jpg?placeholder=1
Carottes agroécologie FILIERE QUALITE CARREFOUR ( le sachet de 1Kg ) ,FRANCE,0.89€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680426818_PHOTOSITE_20190726_170410_0.jpg?placeholder=1
Asperges vertes ( la botte de 500 g ) ,ESPAGNE,2.50€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276550293538_PHOTOSITE_20160318_164000_0.jpg?placeholder=1
Avocat Hass Bio ( la pièce ) ,PEROU,1.59€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680432437_PHOTOSITE_20200526_181616_0.jpg?placeholder=1
Betteraves rouges cuites bio CARREFOUR BIO ( le paquet de 500 g ) ,FRANCE,0.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3270190010395_PHOTOSITE_20150617_162426_0.jpg?placeholder=1
Aubergine Bio ( la pièce ) ,UE,1.19€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680454644_PHOTOSITE_20210323_175007_0.jpg?placeholder=1
Radis roses ( la botte ) ,FRANCE,1.29€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276557117929_PHOTOSITE_20160318_163726_0.jpg?placeholder=1
Pommes de terre de conservation ( le kilo ) ,FRANCE,0.69€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276550072225_PHOTOSITE_20210420_180541_0.jpg?placeholder=1
Aubergines Bio ( la barquette de 2 ) ,ESPAGNE,2.00€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680291003_PHOTOSITE_20151231_163553_0.jpg?placeholder=1
Pommes de terre de consommation Agata ( le filet de 10 kg ) ,FRANCE,2.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554593658_PHOTOSITE_20150617_162734_0.jpg?placeholder=1
Pommes de terre Frites Melody FILIERE QUALITE CARREFOUR ( le filet de 2.5 kg ) ,FRANCE,1.69€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276556201230_PHOTOSITE_20181127_162151_0.jpg?placeholder=1
Pommes de terre ratte du touquet REFLETS DE FRANCE ( la barquette d'1kg ) ,FRANCE,2.29€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276555320314_PHOTOSITE_20191014_134121_1.jpg?placeholder=1
Artichaut blanc ( la pièce ) ,ESPAGNE,1.19€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276556231909_PHOTOSITE_20160318_163702_0.jpg?placeholder=1
Pommes de terre Vapeur Annabelle FILIERE QUALITE CARREFOUR ( le filet de 2.5 kg ) ,FRANCE,1.79€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276557653267_PHOTOSITE_20150617_162618_0.jpg?placeholder=1
Aubergines violettes ( les 500g ) ,ESPAGNE,0.79€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276556776905_PHOTOSITE_20160322_164016_0.jpg?placeholder=1
Salade Feuille de chêne blonde ( la pièce ) ,FRANCE,0.75€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000001040224_PHOTOSITE_20150617_162503_0.jpg?placeholder=1
Pommes de terre de consommation Amandine Amandine ( Le filet de 2.4kg dont 400G offert ) ,FRANCE,2.29€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680431164_PHOTOSITE_20190830_142638_0.jpg?placeholder=1
Champignons bruns Bio CARREFOUR BIO ( la barquette de 200g ) ,FRANCE,1.59€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680256637_PHOTOSITE_20190221_092625_1.jpg?placeholder=1
Pommes de terre Vapeur / Gratin / Rissolée allians FILIERE QUALITE CARREFOUR ( le filet de 2.5 kg ) ,FRANCE,1.79€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276557997972_PHOTOSITE_20160318_164019_0.jpg?placeholder=1
Pommes de terre Purée / Potage / Four Monalisa ( le filet de 2.5 kg ) ,FRANCE,0.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554591753_PHOTOSITE_20150617_162504_0.jpg?placeholder=1
Avocats mûrs à point Hass ( la barquette de 2 ) ,MOZAMBIQUE,3.50€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554759320_PHOTOSITE_20150617_162701_0.jpg?placeholder=1
Carottes  PETIT PRIX ( le sachet de 2Kg ) ,FRANCE,1.59€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276550261162_PHOTOSITE_20140327_173142_0.jpg?placeholder=1
Tomates rondes en grappe ( le kilo ) ,FRANCE,2.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276552413026_PHOTOSITE_20160323_163718_0.jpg?placeholder=1
Salade Laitue Iceberg ( la pièce ) ,ESPAGNE,0.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276559823125_PHOTOSITE_20150617_162355_0.jpg?placeholder=1
Tomates cerises rondes bio ( la barquette de 200 g ) ,ESPAGNE,1.50€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680258358_PHOTOSITE_20150617_162337_0.jpg?placeholder=1
Asperges blanches ou violettes ( la botte de 500g ) ,FRANCE,2.50€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276558063089_PHOTOSITE_20150616_083249_0.jpg?placeholder=1
Potimarron ( la pièce ) ,FRANCE,2.39€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276550309277_PHOTOSITE_20150617_162641_0.jpg?placeholder=1
Betteraves bio ( le sachet de 500g ) ,FRANCE,0.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3281440000028_PHOTOSITE_20180522_163406_0.jpg?placeholder=1
Tomates cerises rondes ( la barquette de 400g ) ,FRANCE,2.00€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276558257211_PHOTOSITE_20180828_160845_0.jpg?placeholder=1
Pommes de terre de consommation à chair ferme Gourmandine C'EST QUI LE PATRON ( le filet de 2.5Kg ) ,FRANCE,3.85€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680445918_PHOTOSITE_20200922_171443_0.jpg?placeholder=1
Asperges violettes ( la botte de 1 kg ) ,FRANCE,6.49€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554553225_PHOTOSITE_20140725_121611_0.jpg?placeholder=1
Carottes  PLANETE VEGETAL ( le sachet de 500 g ) ,FRANCE,0.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680244535_PHOTOSITE_20150617_162405_0.jpg?placeholder=1
Echalotes longues traditionnelles REFLETS DE FRANCE ( le filet de 250 g ) ,FRANCE,1.49€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276557808551_PHOTOSITE_20150616_083609_0.jpg?placeholder=1
Champignons blanc ( La barquette de 1Kg ) ,FRANCE,3.50€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276557915334_PHOTOSITE_20210420_180522_0.jpg?placeholder=1
Champignons blanc ( La barquette de 1Kg ) ,FRANCE,3.50€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276552640316_PHOTOSITE_20210420_180546_0.jpg?placeholder=1
Courge butternut ( la pièce ) ,FRANCE,1.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276550308621_PHOTOSITE_20151010_085322_0.jpg?placeholder=1
Asperges blanches/violettes ( la botte de 1 kg ) ,FRANCE,6.49€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276556652186_PHOTOSITE_20160322_163944_0.jpg?placeholder=1
Carottes  FILIERE QUALITE CARREFOUR ( le sachet de 1 kg ) ,FRANCE,0.89€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554571540_PHOTOSITE_20140527_122715_0.jpg?placeholder=1
Avocats Hass bio ( le lot de 2 ) ,ORIGINEPAYSTIERS,1.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276558059464_PHOTOSITE_20150616_082930_0.jpg?placeholder=1
Tomates cerises rondes ( la bourriche de 250 g ) ,COLOMBIE,3.90€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276550248460_PHOTOSITE_20150528_084653_0.jpg?placeholder=1
